Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Venue Country,Match Type,MOM,Year,MOM_Won
45,86.0,78,5,0,57.69,4,lbw,2,v West Indies,Hyderabad (Deccan),2018-12-10,India,Test,No,2018,0
3,17.0,16,0,0,18.75,4,caught,1,v Australia,Adelaide,2018-06-12,Australia,Test,No,2018,0
34,132.0,104,3,0,32.69,4,caught,3,v Australia,Adelaide,2018-06-12,Australia,Test,No,2018,0
123,373.0,257,13,1,47.85,4,caught,2,v Australia,Perth,2018-12-14,Australia,Test,Yes,2018,1
17,64.0,40,2,0,42.5,4,caught,4,v Australia,Perth,2018-12-14,Australia,Test,No,2018,0
82,305.0,204,9,0,40.19,4,caught,1,v Australia,Melbourne,2018-12-26,Australia,Test,No,2018,0
0,6.0,4,0,0,0.0,4,caught,3,v Australia,Melbourne,2018-12-26,Australia,Test,No,2018,0
23,64.0,59,4,0,38.98,4,caught,1,v Australia,Sydney,2019-03-01,Australia,Test,No,2019,0
76,211.0,163,10,0,46.62,4,caught,1,v West Indies,Kingston,2019-08-30,West Indies,Test,No,2019,0
0,3.0,1,0,0,0.0,4,caught,3,v West Indies,Kingston,2019-08-30,West Indies,Test,No,2019,0
